gvkey,tic,cusip,conm,cik
179016,DDWWF,25537Y104,DIVIDEND GROWTH SPLIT CORP,
179029,XIN,98417P204,XINYUAN REAL ESTATE CO -ADR,1398453
179035,JNK,78468R622,SPDR BLOOMBERG HGH YI BD ETF,
179042,FRMUF,318326105,FIRM CAPITAL PROPERTY TRUST,
179048,ACBI,048269203,ATLANTIC CAP BANCSHARES INC,1461755
179057,ITM,92189H201,VANECK INTERMEDIATE MUNI ETF,
179058,OESX,686275108,ORION ENERGY SYSTEMS INC,1409375
179059,USL,91288V103,UNITED STATES 12 MNTH OIL LP,
179060,BTG,11777Q209,B2GOLD CORP,1429937
179077,FOR,346232101,FORESTAR GROUP INC,1406587
179080,EDV,921910709,VANGUARD EXTENDED DURATN ETF,
179087,TNK,Y8565N300,TEEKAY TANKERS LTD,1419945
179094,DFRG,245077102,DEL FRISCOS RESTURNT GRP INC,1415301
179103,SCZ,464288273,ISHARES MSCI EAFE SM-CAP ETF,
179104,TOK,464288265,ISHARES MSCI KOKUSAI ETF,
179105,IGF,464288372,ISHARES GLOBAL INFRSTRUCTURE,
179107,CIAFF,Q22964102,CHAMPION IRON LTD,1676621
179111,MYND.1,62857N202,MYND ANALYTICS INC,
179124,PMCOF,74359L204,PROSPECTOR METALS CORP,1482753
179132,ORN,68628V308,ORION GROUP HOLDINGS INC,1402829
179135,TAO,46138E602,INVESCO CHINA RE ETF,
179137,CNFN,12529C209,CFN ENTERPRISES INC,1352952
179141,VPRB,91831H106,VPR BRANDS LP,1376231
179143,SMREF,86687V704,SUN SUMMIT MINERALS CORP,1480313
179147,YEWB,98584C101,YEW BIO-PHARM GROUP INC,1548240
179151,EMB,464288281,ISHARES JPMORGAN USD EMG MKT,
179157,SVBRF,G81701107,SILVER BEAR RESOURCES PLC,
179158,PPOTF,69481U106,PACIFIC SILK ROD REC GRP INC,
179162,CLYAF,46433W109,ISHARES GLOBAL AGRICULTURE,
179163,FPLSF,33833X101,5N PLUS INC,
179164,RCKXF,77467Q106,ROCKY MOUNTAIN DEALERSHIPS,1423556
179165,PBP,46137V399,INVESCO S&P 500 BUYWRITE ETF,
179170,MGK,921910816,VANGUARD MEGA CAP GROWTH ETF,
179171,MGC,921910873,VANGUARD MEGA CAP ETF,
179172,MGV,921910840,VANGUARD MEGA CAP VALUE ETF,
179173,SCJ,464286582,ISHARES MSCI JPN SM CAP ETF,
179182,FDBL,358452308,FRIENDABLE INC,1414043
179184,HWNI,42981W104,HIGH WIRE NETWORKS INC,1413891
179187,CERGF,156770109,CERES GLOBAL AG CORP,1621373
179191,PIZ,46138E875,INVESCO DORS WR DE MA MO ETF,
179192,PIE,46138E867,INVESCO DORS WR EM MA MO ETF,
179202,SATS,278768106,ECHOSTAR CORP,1415404
179212,TFCCF,881002406,TERRA FIRMA CAPITAL CORP,
179213,MLN,92189F536,VANECK LONG MUNI ETF,
179216,BIP,G16252101,BROOKFIELD INFRS PTRS LP,1406234
179229,LYDIF,G5724R107,LYDIAN INTERNATIONAL LTD,1424556
179234,SFBC,83607A100,SOUND FINANCIAL BANCORP INC,1541119
179236,ETR8,29399W008,ENTERGY TEXAS INC,1427437
179248,KOL,92189H888,VANECK VECTORS COAL ETF,
179249,BWEN,11161T207,BROADWIND INC,1120370
179264,CYH.,46433E109,ISHARES GLBL MONTHLY DIV IDX,
179265,HNUZF,086637204,BETAPRO NATURAL GAS LEVERAG,
179266,HZOZF,08665B104,BETAPRO CRUDE OIL LEVERAGED,
179267,HBNNF,086631306,BETAPRO NATURAL GS INVERSE,
179268,HBTPF,08664K303,BETAPRO CRUDE OIL INVERSE LE,
179285,PGX,46138E511,INVESCO PREFERRED ETF,
179288,DALN,235050101,DALLASNEWS CORP,1413898
179293,HBCGF,08660T100,HORIZONS BETAPRO COMX GLD BU,
179294,BTTGF,08663T206,BETAPRO GOL BU -2X DA BE ETF,
179298,EBSB,58958U103,MERIDIAN BANCORP INC (MD),1600125
179300,AACG,00211V106,ATA CREATIVITY GLOBAL -ADS,1420529
179312,BJK,92189F882,VANECK GAMING ETF,
179313,GCC,97717Y683,WISDOMTREE ENHANCED CO ST FD,
179325,SIXWF,83011Y306,SIXTH WAVE INNOVATIONS INC,1515251
179347,RCZRF,04226J108,ARMOR MINERALS INC,1682145
179348,CLFMF,46432E100,ISHARES 1-5 YR LADDERED GOV,
179349,HAO.1,46138E701,INVESCO CHINA SMALL CAP ETF,
179363,DTST,23786R201,DATA STORAGE CORP,1419951
179372,KBLB,50075W104,KRAIG BIOCRAFT LABORATORIES,1413119
179384,CGFEF,12529J105,CF ENERGY CORP,
179400,PIN,46137R109,INVESCO INDIA ETF,
179413,CSII,141619106,CARDIOVASCULAR SYSTEMS INC,1180145
179417,RGSEQ,75601N500,REAL GOODS SOLAR INC,1425565
179425,GSY,46090A887,INVESCO ULTRA SHORT DUR ETF,
179433,TREVQ,89531J786,TREVALI MINING CORP,1402948
179437,AWK,030420103,AMERICAN WATER WORKS CO INC,1410636
179441,BEAT.2,090672106,BIOTELEMETRY INC,1574774
179447,MKGI,609011200,MONAKER GROUP INC,
179454,DPSI,24345A507,DECISIONPOINT SYSTEMS INC,1505611
179461,AYTU,054754858,AYTU BIOPHARMA INC,1385818
179464,DWX,78463X772,SPDR S&P INTL DIVIDEND ETF,
179468,CMRCF,46433M101,ISHARES PREMIUM MONEY MA ETF,
179480,GFKRF,683881106,OPUS ONE GOLD CORP,1533289
179501,RWL,46138G698,INVESCO S&P 500 REVENUE ETF,
179502,RWK,46138G672,INVESCO S&P MDCP 400 RVN ETF,
179504,RWJ,46138G664,INVESCO S&P SMLCP 600 RV ETF,
179505,EPI,97717W422,WISDOMTREE INDIA EARNINGS FD,
179507,MEDS,89846A405,TRXADE HEALTH INC,1382574
179520,SMB,92189F528,VANECK SHORT MUNI ETF,
179521,UGA,91201T102,UNITED STATES GASOLINE FD LP,
179534,V,92826C839,VISA INC,1403161
179551,ELGSF,28699W932,ELEMENTAL ROYALTIE CORP -OLD,
179552,EMPK,291617108,EMPIRE BANCORP INC,1629659
179555,CATPF,37637H105,GIYANI METALS CORP,1900907
179566,SLVRF,828062109,SILVER ONE RESOURCES INC,1765267
179577,ENOV,194014502,ENOVIS CORP,1420800
179583,FN,G3323L100,FABRINET,1408710
179597,HCCI,42726M106,HERITAGE-CRYSTAL CLEAN INC,1403431
179598,CLDX,15117B202,CELLDEX THERAPEUTICS INC,744218
179616,PCROF,694459207,PACIFIC IRON ORE CORP,
179621,PM,718172109,PHILIP MORRIS INTERNATIONAL,1413329
179624,CJJD,G2124G120,CHINA JO-JO DRUGSTORES INC,1856084
179652,ORRCF,687033100,OROCO RESOURCE CORP,1390352
179656,WIP,78464A490,SPDR FTSE INTERNA GOV BD ETF,
179657,HI,431571108,HILLENBRAND INC,1417398
